interactor,topic,doc_nb,word_nb,char_nb,doc_ids
NA,G1,11.102274, 8688.010,51810.31,5cc07615a2c3613145ed8b50 5cc17fe8a2c3615169989c16 5cc08341a2c3613145ed8ff3 5cc07350a2c3613145ed8a8f 5cc075d6a2c3613145ed8b44 5cc164fda2c36151699895fe 5cc174e5a2c361516998999d 5cc16889a2c36151699896bc 5cc17a4ba2c3615169989acb 5cc07e9ba2c3613145ed8e81 5cc07156a2c3613145ed89f1 5cc17a06a2c3615169989abb 5cc1642fa2c36151699895c7 5cc18956a2c3615169989dd8
NA,G10,14.050779,14983.816,88970.31,5cc180e7a2c3615169989c56 5cc06d80a2c3613145ed8960 5cc07e22a2c3613145ed8e59 5cc18ec6a2c3615169989edf 5cc07930a2c3613145ed8c7a 5cc074c0a2c3613145ed8aeb 5cc18399a2c3615169989cc4 5cc08494a2c3613145ed9054 5cc17871a2c3615169989a54 5cc07049a2c3613145ed89bb 5cc0752aa2c3613145ed8b08 5cc16ecda2c3615169989833 5cc079cfa2c3613145ed8cbe 5cc17f30a2c3615169989bf1 5cc08025a2c3613145ed8f14 5cc18d28a2c3615169989e98 5cc16568a2c3615169989617
NA,G2,10.862860, 9162.959,56139.79,5cc08174a2c3613145ed8f74 5cc165c9a2c361516998962b 5cc06ed9a2c3613145ed898c 5cc17f7aa2c3615169989c01 5cc07b51a2c3613145ed8d54 5cc0846aa2c3613145ed9047 5cc1823aa2c3615169989c8e 5cc079fba2c3613145ed8cd1 5cc16de0a2c36151699897fe 5cc1741aa2c3615169989971
NA,G3, 9.250268, 7502.160,46186.53,5cc17caba2c3615169989b6e 5cc07e5ba2c3613145ed8e6c 5cc18970a2c3615169989de2 5cc188efa2c3615169989dc7 5cc18a43a2c3615169989e0a 5cc169afa2c36151699896f8 5cc0817fa2c3613145ed8f7a 5cc18879a2c3615169989daf 5cc187dfa2c3615169989d92
NA,G4, 7.782977, 7079.179,43435.57,5cc16446a2c36151699895d1 5cc0861ca2c3613145ed90c3 5cc072d7a2c3613145ed8a6e 5cc07792a2c3613145ed8bcd 5cc16577a2c361516998961d 5cc1881da2c3615169989d9e
NA,G5, 9.910533, 8354.417,51796.64,5cc06daca2c3613145ed8969 5cc07b5ca2c3613145ed8d5b 5cc07a62a2c3613145ed8cfa 5cc07696a2c3613145ed8b7a 5cc07686a2c3613145ed8b72 5cc17771a2c3615169989a19 5cc17b16a2c3615169989b00 5cc08506a2c3613145ed9074 5cc072bfa2c3613145ed8a62 5cc075cba2c3613145ed8b3f 5cc07555a2c3613145ed8b1b 5cc081a1a2c3613145ed8f7d 5cc18482a2c3615169989cf3 5cc18761a2c3615169989d7b
NA,G6, 9.732802, 9419.881,57468.97,5cc178c7a2c3615169989a6a 5cc17135a2c36151699898c4 5cc0845ea2c3613145ed9041 5cc17521a2c36151699899a1 5cc07f82a2c3613145ed8ed0 5cc183eea2c3615169989cd1 5cc18460a2c3615169989ce5 5cc18566a2c3615169989d1d
NA,G7,12.079547, 9673.279,59397.39,5cc07d8ba2c3613145ed8e24 5cc16d70a2c36151699897e2 5cc079bda2c3613145ed8cb4 5cc06feea2c3613145ed89b2 5cc0809aa2c3613145ed8f38 5cc17baca2c3615169989b2b 5cc172d3a2c3615169989925 5cc16d04a2c36151699897be 5cc07723a2c3613145ed8ba6 5cc16cdaa2c36151699897bc
NA,G8, 5.747004, 4760.949,28618.72,5cc04c9fa2c36117d7eb0f5a 5cc18880a2c3615169989db1 5cc1715da2c36151699898d2 5cc1832fa2c3615169989ca7
NA,G9, 9.480956, 8287.350,50862.78,5cc17807a2c3615169989a39 5cc079bba2c3613145ed8cb3 5cc172d1a2c3615169989924 5cc072d3a2c3613145ed8a6c 5cc07915a2c3613145ed8c6b 5cc18138a2c3615169989c5e 5cc08023a2c3613145ed8f12 5cc17c29a2c3615169989b4b
