date,week,month,year,doc_nb,word_nb,char_nb,doc_ids
2018-11-15,2018-11-12,2018-11,2018, 2, 18, 200,1062954973456084994
2018-11-19,2018-11-19,2018-11,2018, 1, 15,  77,
2018-11-26,2018-11-26,2018-11,2018, 1, 37, 219,
2018-12-02,2018-11-26,2018-12,2018, 1, 12, 105,
2018-12-30,2018-12-24,2018-12,2018, 5,150,1270,
2019-02-16,2019-02-11,2019-02,2019, 1, 28, 155,
2019-03-10,2019-03-04,2019-03,2019, 1, 22, 129,
2019-03-13,2019-03-11,2019-03,2019, 1, 43, 250,
2019-03-18,2019-03-18,2019-03,2019, 1,  6,  31,
2019-03-27,2019-03-25,2019-03,2019, 1, 13,  79,
2019-03-28,2019-03-25,2019-03,2019, 1, 19, 143,
