interactor,date,topic,doc_nb,word_nb,char_nb,doc_ids
NA,2016-01-27,G1,9.715100e-02, 101.2313390,  541.908262,
NA,2016-01-27,G10,8.122507e-01, 846.3652422, 4530.734473,5cc18ec6a2c3615169989edf
NA,2016-01-27,G2,4.017094e-02,  41.8581197,  224.073504,
NA,2016-01-27,G3,2.849003e-04,   0.2968661,    1.589174,
NA,2016-01-27,G4,3.162393e-02,  32.9521368,  176.398291,
NA,2016-01-27,G5,1.452991e-02,  15.1401709,   81.047863,
NA,2016-01-27,G6,3.133903e-03,   3.2655271,   17.480912,
NA,2016-01-27,G7,2.849003e-04,   0.2968661,    1.589174,
NA,2016-01-27,G8,2.849003e-04,   0.2968661,    1.589174,
NA,2016-01-27,G9,2.849003e-04,   0.2968661,    1.589174,
NA,2016-04-04,G1,4.098361e-04,   0.1872951,    1.236885,
NA,2016-04-04,G10,4.098361e-04,   0.1872951,    1.236885,
NA,2016-04-04,G2,6.598361e-02,  30.1545082,  199.138525,
NA,2016-04-04,G3,6.028689e-01, 275.5110656, 1819.458197,5cc18a43a2c3615169989e0a
NA,2016-04-04,G4,4.098361e-04,   0.1872951,    1.236885,
NA,2016-04-04,G5,4.098361e-04,   0.1872951,    1.236885,
NA,2016-04-04,G6,1.270492e-02,   5.8061475,   38.343443,
NA,2016-04-04,G7,3.159836e-01, 144.4045082,  953.638525,
NA,2016-04-04,G8,4.098361e-04,   0.1872951,    1.236885,
NA,2016-04-04,G9,4.098361e-04,   0.1872951,    1.236885,
NA,2016-05-03,G1,1.435233e-01, 190.1683938, 1141.871503,
NA,2016-05-03,G10,3.939551e-01, 521.9905009, 3134.306736,5cc18d28a2c3615169989e98
NA,2016-05-03,G2,1.727116e-04,   0.2288428,    1.374093,
NA,2016-05-03,G3,1.348877e-01, 178.7262522, 1073.166839,
NA,2016-05-03,G4,1.020725e-01, 135.2461140,  812.089119,
NA,2016-05-03,G5,1.727116e-04,   0.2288428,    1.374093,
NA,2016-05-03,G6,1.727116e-04,   0.2288428,    1.374093,
NA,2016-05-03,G7,7.789292e-02, 103.2081174,  619.716062,
NA,2016-05-03,G8,1.226252e-02,  16.2478411,   97.560622,
NA,2016-05-03,G9,1.348877e-01, 178.7262522, 1073.166839,
NA,2016-05-05,G1,3.125000e-03,   2.1093750,   13.828125,
NA,2016-05-05,G10,4.857955e-02,  32.7911932,  214.964489,
NA,2016-05-05,G2,2.840909e-04,   0.1917614,    1.257102,
NA,2016-05-05,G3,4.605114e-01, 310.8451705, 2037.762784,5cc188efa2c3615169989dc7
NA,2016-05-05,G4,2.758523e-01, 186.2002841, 1220.646307,
NA,2016-05-05,G5,9.119318e-02,  61.5553977,  403.529830,
NA,2016-05-05,G6,2.840909e-04,   0.1917614,    1.257102,
NA,2016-05-05,G7,9.687500e-02,  65.3906250,  428.671875,
NA,2016-05-05,G8,2.840909e-04,   0.1917614,    1.257102,
NA,2016-05-05,G9,2.301136e-02,  15.5326705,  101.825284,
NA,2016-05-10,G1,5.209184e-01, 233.3714286, 1433.567347,5cc18956a2c3615169989dd8
NA,2016-05-10,G10,5.102041e-04,   0.2285714,    1.404082,
NA,2016-05-10,G2,5.102041e-04,   0.2285714,    1.404082,
NA,2016-05-10,G3,5.102041e-04,   0.2285714,    1.404082,
NA,2016-05-10,G4,8.724490e-02,  39.0857143,  240.097959,
NA,2016-05-10,G5,5.102041e-04,   0.2285714,    1.404082,
NA,2016-05-10,G6,1.994898e-01,  89.3714286,  548.995918,
NA,2016-05-10,G7,1.841837e-01,  82.5142857,  506.873469,
