interactor,date,topic,doc_nb,word_nb,char_nb,doc_ids
OTHER_USERS,2016-01-27,T7, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T8, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T9, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-04-25,T1, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T2, 0.645569620,  7.74683544,  54.8734177,
OTHER_USERS,2016-04-25,T3, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T4, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T5, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T6, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T7, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T8, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T9, 0.265822785,  3.18987342,  22.5949367,
OTHER_USERS,2016-04-26,T1, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T2, 0.645569620,  7.74683544,  54.8734177,
OTHER_USERS,2016-04-26,T3, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T4, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T5, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T6, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T7, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T8, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T9, 0.265822785,  3.18987342,  22.5949367,
OTHER_USERS,2016-06-16,T1, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T2, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T3, 0.559633028, 11.75229358,  79.4678899,
OTHER_USERS,2016-06-16,T4, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T5, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T6, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T7, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T8, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T9, 0.376146789,  7.89908257,  53.4128440,
OTHER_USERS,2016-07-04,T1, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T2, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T3, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T4, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T5, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T6, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T7, 0.282051282,  1.97435897,  12.9743590,
OTHER_USERS,2016-07-04,T8, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T9, 0.538461538,  3.76923077,  24.7692308,
OTHER_USERS,2016-07-19,T1, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T2, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T3, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T4, 0.111111111,  2.00000000,  12.5555556,
OTHER_USERS,2016-07-19,T5, 0.313131313,  5.63636364,  35.3838384,
OTHER_USERS,2016-07-19,T6, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T7, 0.010101010,  0.18181818,   1.1414141,
