author,interactor,date,doc_nb,word_nb,char_nb,doc_ids
OTHER_USERS,NA,2018-12-02, 1, 12, 105,
OTHER_USERS,NA,2018-12-30, 1, 30, 254,
OTHER_USERS,NA,2019-02-16, 1, 28, 155,
OTHER_USERS,NA,2019-03-10, 1, 22, 129,
OTHER_USERS,NA,2019-03-13, 1, 43, 250,
OTHER_USERS,NA,2019-03-18, 1,  6,  31,
OTHER_USERS,NA,2019-03-27, 1, 13,  79,
OTHER_USERS,NA,2019-03-28, 1, 19, 143,
SustainBrands,NA,2016-07-01, 1,  7,  58,748763105321070593
USER_2,NA,2017-06-13, 1,  5,  34,874590496815009793
USER_3,citizensclimate,2016-04-11, 1,  9,  61,719635824636076032
USER_3,NA,2017-11-09, 1,  8,  55,928766098060738562
