author,topic,doc_nb,word_nb,char_nb,doc_ids
Associated Press,G2,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G3,2.262437e-02,  10.5497339,   63.458087,
Associated Press,G4,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G5,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G6,4.663828e-01, 214.4570506, 1285.976645,
Associated Press,G7,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G8,9.793485e-04,   0.4415088,    2.635576,
Associated Press,G9,9.793485e-04,   0.4415088,    2.635576,
Ben Jacobs,G1,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G10,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G2,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G3,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G4,8.029197e-03,   2.5934307,   15.937956,
Ben Jacobs,G5,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G6,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G7,7.299270e-04,   0.2357664,    1.448905,
Ben Jacobs,G8,8.029197e-03,   2.5934307,   15.937956,
Ben Jacobs,G9,9.788321e-01, 316.1627737, 1942.981752,5cc172d1a2c3615169989924
Ben Smee,G1,2.380952e-04,   0.2595238,    1.470952,
Ben Smee,G10,4.716667e-01, 514.1166667, 2913.956667,5cc06d80a2c3613145ed8960
Ben Smee,G2,3.357143e-02,  36.5928571,  207.404286,
Ben Smee,G3,3.383333e-01, 368.7833333, 2090.223333,
Ben Smee,G4,5.000000e-03,   5.4500000,   30.890000,
Ben Smee,G5,1.383333e-01, 150.7833333,  854.623333,
Ben Smee,G6,2.380952e-04,   0.2595238,    1.470952,
Ben Smee,G7,1.214286e-02,  13.2357143,   75.018571,
Ben Smee,G8,2.380952e-04,   0.2595238,    1.470952,
Ben Smee,G9,2.380952e-04,   0.2595238,    1.470952,
Bianca Nogrady,G1,1.552795e-04,   0.2170807,    1.338975,
Bianca Nogrady,G10,1.257764e-02,  17.5835404,  108.456988,
Bianca Nogrady,G2,4.163043e-01, 581.9934783, 3589.792391,5cc165c9a2c361516998962b
Bianca Nogrady,G3,1.709627e-01, 239.0059006, 1474.211646,
Bianca Nogrady,G4,3.260870e-03,   4.5586957,   28.118478,
Bianca Nogrady,G5,2.190994e-01, 306.3009317, 1889.293944,
Bianca Nogrady,G6,1.552795e-04,   0.2170807,    1.338975,
Bianca Nogrady,G7,1.771739e-01, 247.6891304, 1527.770652,
Bianca Nogrady,G8,1.552795e-04,   0.2170807,    1.338975,
Bianca Nogrady,G9,1.552795e-04,   0.2170807,    1.338975,
"Bibi van der Zee, Andrew Wasley",G1,1.686341e-04,   0.2011804,    1.292074,
"Bibi van der Zee, Andrew Wasley",G10,1.854975e-03,   2.2129848,   14.212816,
"Bibi van der Zee, Andrew Wasley",G2,8.279933e-02,  98.7795953,  634.408432,
"Bibi van der Zee, Andrew Wasley",G3,3.812816e-01, 454.8689713, 2921.379764,5cc07e5ba2c3613145ed8e6c
"Bibi van der Zee, Andrew Wasley",G4,3.239460e-01, 386.4676223, 2482.074536,
"Bibi van der Zee, Andrew Wasley",G5,5.750422e-02,  68.6025295,  440.597302,
"Bibi van der Zee, Andrew Wasley",G6,5.075885e-02,  60.5553120,  388.914334,
"Bibi van der Zee, Andrew Wasley",G7,1.013491e-01, 120.9094435,  776.536594,
"Bibi van der Zee, Andrew Wasley",G8,1.686341e-04,   0.2011804,    1.292074,
"Bibi van der Zee, Andrew Wasley",G9,1.686341e-04,   0.2011804,    1.292074,
Bill McKibben,G1,4.340102e-02,  36.8474619,  221.345178,
Bill McKibben,G10,2.286802e-01, 194.1494924, 1166.269036,
Bill McKibben,G2,2.895939e-01, 245.8652284, 1476.928934,5cc06ed9a2c3613145ed898c
Bill McKibben,G3,2.007614e-01, 170.4464467, 1023.883249,
Bill McKibben,G4,2.538071e-04,   0.2154822,    1.294416,
Bill McKibben,G5,2.538071e-04,   0.2154822,    1.294416,
Bill McKibben,G6,2.791878e-03,   2.3703046,   14.238579,
Bill McKibben,G7,2.055838e-02,  17.4540609,  104.847716,
Bill McKibben,G8,7.868020e-03,   6.6799492,   40.126904,
Bill McKibben,G9,2.058376e-01, 174.7560914, 1049.771574,
Caroline Lucas,G1,9.163498e-02,  63.2281369,  365.531939,
Caroline Lucas,G10,2.779468e-01, 191.7832700, 1108.729658,
Caroline Lucas,G2,1.486692e-01, 102.5817490,  593.041445,
Caroline Lucas,G3,3.802281e-04,   0.2623574,    1.516730,
Caroline Lucas,G4,1.939163e-02,  13.3802281,   77.353232,
Caroline Lucas,G5,3.802281e-04,   0.2623574,    1.516730,
Caroline Lucas,G6,7.984791e-03,   5.5095057,   31.851331,
Caroline Lucas,G7,1.296578e-01,  89.4638783,  517.204943,
Caroline Lucas,G8,3.235741e-01, 223.2661597, 1290.737262,5cc04c9fa2c36117d7eb0f5a
Caroline Lucas,G9,3.802281e-04,   0.2623574,    1.516730,
Christine Milne,G1,2.429047e-01, 498.6832594, 2910.969401,
Christine Milne,G10,1.719512e-01, 353.0158537, 2060.663415,
Christine Milne,G2,1.108647e-04,   0.2276053,    1.328603,
Christine Milne,G3,1.108647e-04,   0.2276053,    1.328603,
Christine Milne,G4,3.936807e-01, 808.2264967, 4717.869623,5cc0861ca2c3613145ed90c3
Christine Milne,G5,5.000000e-02, 102.6500000,  599.200000,
Christine Milne,G6,1.087583e-01, 223.2808204, 1303.359645,
Christine Milne,G7,8.980044e-03,  18.4360310,  107.616851,
Christine Milne,G8,2.117517e-02,  43.4726164,  253.763193,
Christine Milne,G9,2.328160e-03,   4.7797118,   27.900665,
Damian Carrington,G1,3.238297e-01, 311.7271522, 1884.295439,5cc07350a2c3613145ed8a8f
Damian Carrington,G10,4.445829e-02,  37.8597500,  229.392049,
Damian Carrington,G2,1.220176e-02,  11.6294777,   70.309392,
Damian Carrington,G3,6.695158e-01, 407.8174688, 2491.087509,5cc18970a2c3615169989de2
Damian Carrington,G4,7.142868e-02,  67.4568132,  407.898661,
Damian Carrington,G5,5.738551e-04,   0.4318033,    2.623346,
Damian Carrington,G6,3.004230e-01, 286.7701953, 1733.704209,
Damian Carrington,G7,3.698016e-01, 310.0868315, 1879.413242,
Damian Carrington,G8,9.797841e-02,  71.2767593,  433.372945,
Damian Carrington,G9,1.097889e-01,  66.9437487,  408.903209,
Dan Roberts,G1,3.536977e-03,   2.4617363,   14.858842,
Dan Roberts,G10,4.504823e-01, 313.5356913, 1892.476206,5cc07e22a2c3613145ed8e59
Dan Roberts,G2,3.536977e-03,   2.4617363,   14.858842,
Dan Roberts,G3,3.215434e-04,   0.2237942,    1.350804,
Dan Roberts,G4,3.215434e-04,   0.2237942,    1.350804,
Dan Roberts,G5,3.536977e-03,   2.4617363,   14.858842,
Dan Roberts,G6,1.192926e-01,  83.0276527,  501.148232,
Dan Roberts,G7,3.347267e-01, 232.9697749, 1406.186817,
Dan Roberts,G8,8.392283e-02,  58.4102894,  352.559807,
Dan Roberts,G9,3.215434e-04,   0.2237942,    1.350804,
Dana Nuccitelli,G1,2.245121e-01, 219.2987667, 1345.514956,
Dana Nuccitelli,G10,2.367790e-01, 242.4329233, 1505.011620,
Dana Nuccitelli,G2,3.621510e-01, 350.6184774, 2143.108073,
Dana Nuccitelli,G3,1.516433e-01, 150.3841089,  954.401912,
Dana Nuccitelli,G4,1.671081e-02,  19.5149543,  122.105648,
Dana Nuccitelli,G5,9.766365e-03,  11.3274543,   70.855648,
Dana Nuccitelli,G6,2.258806e+00,2275.9949474,14181.369089,5cc178c7a2c3615169989a6a 5cc17135a2c36151699898c4 5cc0845ea2c3613145ed9041
Dana Nuccitelli,G7,5.705936e-02,  66.5329885,  411.082076,
Dana Nuccitelli,G8,1.763427e-02,  16.0032448,  100.143029,
Dana Nuccitelli,G9,1.664938e+00,1757.8921343,10950.407950,5cc072d3a2c3613145ed8a6c 5cc07915a2c3613145ed8c6b
Daniel Boffey,G1,3.200913e-01, 156.5246575,  939.147945,
Daniel Boffey,G10,4.566210e-04,   0.2232877,    1.339726,
Daniel Boffey,G2,4.566210e-04,   0.2232877,    1.339726,
Daniel Boffey,G3,1.374429e-01,  67.2095890,  403.257534,
Daniel Boffey,G4,4.616438e-01, 225.7438356, 1354.463014,5cc072d7a2c3613145ed8a6e
Daniel Boffey,G5,4.566210e-04,   0.2232877,    1.339726,
Daniel Boffey,G6,7.351598e-02,  35.9493151,  215.695890,
Daniel Boffey,G7,4.566210e-04,   0.2232877,    1.339726,
Daniel Boffey,G8,4.566210e-04,   0.2232877,    1.339726,
Daniel Boffey,G9,5.022831e-03,   2.4561644,   14.736986,
Dave Bry,G1,9.715100e-02, 101.2313390,  541.908262,
Dave Bry,G10,8.122507e-01, 846.3652422, 4530.734473,5cc18ec6a2c3615169989edf
Dave Bry,G2,4.017094e-02,  41.8581197,  224.073504,
Dave Bry,G3,2.849003e-04,   0.2968661,    1.589174,
Dave Bry,G4,3.162393e-02,  32.9521368,  176.398291,
Dave Bry,G5,1.452991e-02,  15.1401709,   81.047863,
Dave Bry,G6,3.133903e-03,   3.2655271,   17.480912,
Dave Bry,G7,2.849003e-04,   0.2968661,    1.589174,
Dave Bry,G8,2.849003e-04,   0.2968661,    1.589174,
Dave Bry,G9,2.849003e-04,   0.2968661,    1.589174,
David Cox,G1,7.061856e-02,  85.8015464,  538.325258,
David Cox,G10,1.718213e-04,   0.2087629,    1.309794,
David Cox,G2,2.046392e-01, 248.6365979, 1559.964433,
David Cox,G3,7.920962e-02,  96.2396907,  603.814948,
David Cox,G4,5.809278e-01, 705.8273196, 4428.412887,5cc07792a2c3613145ed8bcd
David Cox,G5,1.718213e-04,   0.2087629,    1.309794,
David Cox,G6,3.109966e-02,  37.7860825,  237.072680,
David Cox,G7,3.281787e-02,  39.8737113,  250.170619,
David Cox,G8,1.718213e-04,   0.2087629,    1.309794,
David Cox,G9,1.718213e-04,   0.2087629,    1.309794,
Debbie Carlson,G1,2.366013e-02,  35.7031373,  219.400392,
Debbie Carlson,G10,1.437908e-03,   2.1698039,   13.333725,
Debbie Carlson,G2,6.720261e-01,1014.0874510, 6231.698431,5cc17f7aa2c3615169989c01
Debbie Carlson,G3,1.112418e-01, 167.8639216, 1031.545490,
Debbie Carlson,G4,1.307190e-04,   0.1972549,    1.212157,
Debbie Carlson,G5,1.307190e-04,   0.1972549,    1.212157,
Debbie Carlson,G6,1.437908e-03,   2.1698039,   13.333725,
Debbie Carlson,G7,1.712418e-02,  25.8403922,  158.792549,
Debbie Carlson,G8,1.307190e-04,   0.1972549,    1.212157,
Debbie Carlson,G9,1.726797e-01, 260.5737255, 1601.259216,
Denis Campbell,G1,3.344482e-04,   0.2180602,    1.312040,
Denis Campbell,G10,2.712375e-01, 176.8468227, 1064.064548,5cc07930a2c3613145ed8c7a
Denis Campbell,G2,7.023411e-03,   4.5792642,   27.552843,
Denis Campbell,G3,1.709030e-01, 111.4287625,  670.452508,
Denis Campbell,G4,3.344482e-04,   0.2180602,    1.312040,
Denis Campbell,G5,7.391304e-02,  48.1913043,  289.960870,
Denis Campbell,G6,4.381271e-02,  28.5658863,  171.877258,
Denis Campbell,G7,1.742475e-01, 113.6093645,  683.572910,
Denis Campbell,G8,2.143813e-01, 139.7765886,  841.017726,
Denis Campbell,G9,4.381271e-02,  28.5658863,  171.877258,
"Ed Pilkington, Mona Chalabi",G1,1.510574e-04,   0.2406344,    1.462387,
"Ed Pilkington, Mona Chalabi",G10,1.814199e-01, 289.0019637, 1756.326435,
"Ed Pilkington, Mona Chalabi",G2,1.510574e-04,   0.2406344,    1.462387,
"Ed Pilkington, Mona Chalabi",G3,1.510574e-04,   0.2406344,    1.462387,
"Ed Pilkington, Mona Chalabi",G4,1.510574e-04,   0.2406344,    1.462387,
"Ed Pilkington, Mona Chalabi",G5,1.510574e-04,   0.2406344,    1.462387,
"Ed Pilkington, Mona Chalabi",G6,1.361027e-01, 216.8116314, 1317.610423,
"Ed Pilkington, Mona Chalabi",G7,8.021148e-02, 127.7768882,  776.527341,
"Ed Pilkington, Mona Chalabi",G8,2.129909e-02,  33.9294562,  206.196526,
"Ed Pilkington, Mona Chalabi",G9,5.802115e-01, 924.2768882, 5617.027341,5cc18138a2c3615169989c5e
