author,date,doc_nb,word_nb,char_nb,doc_ids
David Cox,2019-03-25,1,1215, 7623,5cc07792a2c3613145ed8bcd
Debbie Carlson,2016-09-12,1,1509, 9273,5cc17f7aa2c3615169989c01
Denis Campbell,2018-12-08,1, 652, 3923,5cc07930a2c3613145ed8c7a
"Ed Pilkington, Mona Chalabi",2016-07-05,1,1593, 9681,5cc18138a2c3615169989c5e
Ellie Mae O’Hagan,2019-02-15,1,1009, 6128,5cc074c0a2c3613145ed8aeb
Emily Holden,2018-10-17,1, 695, 4276,5cc07b51a2c3613145ed8d54
Fiona Harvey,2018-06-01,1, 555, 3284,5cc07d8ba2c3613145ed8e24
First Dog on the Moon,2016-06-12,1, 149,  847,5cc18399a2c3615169989cc4
Genny Scherer,2018-03-30,1, 671, 3738,5cc08494a2c3613145ed9054
Graham Readfearn,2017-02-21,1,1322, 7822,5cc17521a2c36151699899a1
Graham Readfearn,2017-09-27,1,1436, 8516,5cc16577a2c361516998961d
Graham Readfearn,2018-10-06,1,1153, 6795,5cc07f82a2c3613145ed8ed0
Graham Readfearn,2019-03-04,1,1197, 7305,5cc075d6a2c3613145ed8b44
Guardian Staff,2016-12-24,1,3302,19449,5cc17871a2c3615169989a54
Guardian Staff,2017-09-20,1,  92,  556,5cc164fda2c36151699895fe
Haroon Siddique,2017-06-01,1, 391, 2339,5cc16d70a2c36151699897e2
Heather Stewart,2016-05-15,1,1051, 6226,5cc18880a2c3615169989db1
Howard Lee,2016-06-15,1, 872, 5368,5cc183eea2c3615169989cd1
Ian Jack,2018-07-14,1,1075, 6001,5cc07049a2c3613145ed89bb
Jason Wilson,2019-02-21,1,1884,11230,5cc0752aa2c3613145ed8b08
Jay Weatherill,2016-12-10,1, 502, 3088,5cc17771a2c3615169989a19
Jennifer Clapp,2016-05-05,1, 675, 4425,5cc188efa2c3615169989dc7
Jeremy Plester,2017-02-20,1, 307, 1807,5cc174e5a2c361516998999d
John Abraham,2016-06-20,1,1112, 6709,5cc18460a2c3615169989ce5
John Abraham,2017-06-12,1,1310, 7346,5cc16889a2c36151699896bc
John Abraham,2018-03-26,1, 732, 4336,5cc0846aa2c3613145ed9047
"Jon Henley, Gordon Darroch",2017-03-16,1, 946, 5819,5cc16ecda2c3615169989833
Jonathan Watts,2016-11-01,1, 840, 5013,5cc17a4ba2c3615169989acb
Jonathan Watts,2018-12-17,1, 782, 4831,5cc079bda2c3613145ed8cb4
Karl Mathiesen,2016-05-27,1, 490, 2915,5cc1823aa2c3615169989c8e
