date,week,month,year,doc_nb,word_nb,char_nb,doc_ids
2018-07-05,2018-07-02,2018-07,2018,1, 674, 4225,5cc06daca2c3613145ed8969
2018-07-09,2018-07-09,2018-07,2018,1, 691, 4415,5cc06feea2c3613145ed89b2
2018-07-14,2018-07-09,2018-07,2018,1,1075, 6001,5cc07049a2c3613145ed89bb
2018-08-02,2018-07-30,2018-08,2018,1, 691, 4125,5cc07156a2c3613145ed89f1
2018-09-07,2018-09-03,2018-09,2018,1, 595, 3698,5cc072bfa2c3613145ed8a62
2018-09-10,2018-09-10,2018-09,2018,2,1668,10314,5cc072d7a2c3613145ed8a6e 5cc072d3a2c3613145ed8a6c
2018-09-11,2018-09-10,2018-09,2018,1,1090, 6178,5cc06d80a2c3613145ed8960
2018-10-06,2018-10-01,2018-10,2018,1,1153, 6795,5cc07f82a2c3613145ed8ed0
2018-10-15,2018-10-15,2018-10,2018,2,1681,10098,5cc08025a2c3613145ed8f14 5cc08023a2c3613145ed8f12
2018-10-17,2018-10-15,2018-10,2018,1, 695, 4276,5cc07b51a2c3613145ed8d54
2018-10-19,2018-10-15,2018-10,2018,1,1073, 6481,5cc07b5ca2c3613145ed8d5b
2018-12-05,2018-12-03,2018-12,2018,1, 910, 5520,5cc07915a2c3613145ed8c6b
2018-12-08,2018-12-03,2018-12,2018,1, 652, 3923,5cc07930a2c3613145ed8c7a
2018-12-17,2018-12-17,2018-12,2018,2,1243, 7699,5cc079bda2c3613145ed8cb4 5cc079bba2c3613145ed8cb3
2018-12-20,2018-12-17,2018-12,2018,1,1204, 7062,5cc079cfa2c3613145ed8cbe
2018-12-28,2018-12-24,2018-12,2018,1, 627, 3820,5cc079fba2c3613145ed8cd1
2019-01-15,2019-01-14,2019-01,2019,1, 500, 3009,5cc07a62a2c3613145ed8cfa
2019-02-15,2019-02-11,2019-02,2019,1,1009, 6128,5cc074c0a2c3613145ed8aeb
2019-02-21,2019-02-18,2019-02,2019,1,1884,11230,5cc0752aa2c3613145ed8b08
2019-02-25,2019-02-25,2019-02,2019,1, 960, 6084,5cc07555a2c3613145ed8b1b
2019-03-01,2019-02-25,2019-03,2019,1,1514, 9094,5cc075cba2c3613145ed8b3f
2019-03-04,2019-03-04,2019-03,2019,1,1197, 7305,5cc075d6a2c3613145ed8b44
2019-03-05,2019-03-04,2019-03,2019,1, 783, 4813,5cc07615a2c3613145ed8b50
2019-03-13,2019-03-11,2019-03,2019,2,1123, 7036,5cc07696a2c3613145ed8b7a 5cc07686a2c3613145ed8b72
2019-03-18,2019-03-18,2019-03,2019,1, 906, 5481,5cc07723a2c3613145ed8ba6
2019-03-25,2019-03-25,2019-03,2019,1,1215, 7623,5cc07792a2c3613145ed8bcd
2019-04-22,2019-04-22,2019-04,2019,1, 690, 3989,5cc04c9fa2c36117d7eb0f5a
