author,interactor,topic,doc_nb,word_nb,char_nb,doc_ids
jjauthor,OTHER_USERS,T5, 0.011235955,  0.1011236,   1.1235955,
jjauthor,OTHER_USERS,T6, 0.011235955,  0.1011236,   1.1235955,
jjauthor,OTHER_USERS,T7, 0.011235955,  0.1011236,   1.1235955,
jjauthor,OTHER_USERS,T8, 0.011235955,  0.1011236,   1.1235955,
jjauthor,OTHER_USERS,T9, 0.011235955,  0.1011236,   1.1235955,
MollyJongFast,NA,T1, 0.010101010,  0.1616162,   1.1212121,
MollyJongFast,NA,T2, 0.414141414,  6.6262626,  45.9696970,869889750358007809
MollyJongFast,NA,T3, 0.010101010,  0.1616162,   1.1212121,
MollyJongFast,NA,T4, 0.010101010,  0.1616162,   1.1212121,
MollyJongFast,NA,T5, 0.010101010,  0.1616162,   1.1212121,
MollyJongFast,NA,T6, 0.111111111,  1.7777778,  12.3333333,
MollyJongFast,NA,T7, 0.010101010,  0.1616162,   1.1212121,
MollyJongFast,NA,T8, 0.414141414,  6.6262626,  45.9696970,
MollyJongFast,NA,T9, 0.010101010,  0.1616162,   1.1212121,
OTHER_USERS,citizensclimate,T1, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T2, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T3,11.714285714,105.4285714, 714.5714286,
OTHER_USERS,citizensclimate,T4, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T5, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T6, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T7, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T8, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,citizensclimate,T9, 0.285714286,  2.5714286,  17.4285714,
OTHER_USERS,ClimateReality,T1, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T2, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T3, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T4, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T5, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T6, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T7, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T8, 0.346938776,  6.2448980,  35.7346939,
OTHER_USERS,ClimateReality,T9,14.224489796,256.0408163,1465.1224490,
OTHER_USERS,ECOWARRIORSS,T1, 0.196172249,  8.2392344,  49.8277512,
OTHER_USERS,ECOWARRIORSS,T2, 0.004784689,  0.2009569,   1.2153110,
OTHER_USERS,ECOWARRIORSS,T3, 0.004784689,  0.2009569,   1.2153110,
OTHER_USERS,ECOWARRIORSS,T4, 0.052631579,  2.2105263,  13.3684211,
OTHER_USERS,ECOWARRIORSS,T5, 0.004784689,  0.2009569,   1.2153110,
OTHER_USERS,ECOWARRIORSS,T6, 0.387559809, 16.2775120,  98.4401914,
OTHER_USERS,ECOWARRIORSS,T7, 0.004784689,  0.2009569,   1.2153110,
OTHER_USERS,ECOWARRIORSS,T8, 0.339712919, 14.2679426,  86.2870813,
OTHER_USERS,ECOWARRIORSS,T9, 0.004784689,  0.2009569,   1.2153110,
OTHER_USERS,MollyJongFast,T1, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,MollyJongFast,T2, 2.484848485, 39.7575758, 275.8181818,
OTHER_USERS,MollyJongFast,T3, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,MollyJongFast,T4, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,MollyJongFast,T5, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,MollyJongFast,T6, 0.666666667, 10.6666667,  74.0000000,
OTHER_USERS,MollyJongFast,T7, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,MollyJongFast,T8, 2.484848485, 39.7575758, 275.8181818,
OTHER_USERS,MollyJongFast,T9, 0.060606061,  0.9696970,   6.7272727,
OTHER_USERS,OTHER_USERS,T1, 3.338484291, 77.5042243, 600.4892699,
OTHER_USERS,OTHER_USERS,T2, 7.729972228,118.4444068, 822.4651188,
OTHER_USERS,OTHER_USERS,T3, 5.648892576,108.0944547, 782.8302359,
OTHER_USERS,OTHER_USERS,T4, 4.602583149, 68.8445398, 588.5713709,
OTHER_USERS,OTHER_USERS,T5, 2.261333759, 39.2752416, 299.5451069,
OTHER_USERS,OTHER_USERS,T6, 5.877874603, 99.5243698, 731.3975112,
OTHER_USERS,OTHER_USERS,T7, 3.216482700, 62.1199363, 458.6083709,
OTHER_USERS,OTHER_USERS,T8, 4.414207153, 85.2797358, 577.2972990,
OTHER_USERS,OTHER_USERS,T9, 5.910169541,118.9130909, 775.7957164,
OTHER_USERS,SustainBrands,T1, 0.014492754,  0.1014493,   0.8405797,
OTHER_USERS,SustainBrands,T2, 0.014492754,  0.1014493,   0.8405797,
OTHER_USERS,SustainBrands,T3, 0.014492754,  0.1014493,   0.8405797,
OTHER_USERS,SustainBrands,T4, 0.014492754,  0.1014493,   0.8405797,
OTHER_USERS,SustainBrands,T5, 0.594202899,  4.1594203,  34.4637681,
OTHER_USERS,SustainBrands,T6, 0.159420290,  1.1159420,   9.2463768,
OTHER_USERS,SustainBrands,T7, 0.159420290,  1.1159420,   9.2463768,
OTHER_USERS,SustainBrands,T8, 0.014492754,  0.1014493,   0.8405797,
OTHER_USERS,SustainBrands,T9, 0.014492754,  0.1014493,   0.8405797,
OTHER_USERS,USER_2,T1, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T2, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T3, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T4, 0.578947368,  2.8947368,  19.6842105,
OTHER_USERS,USER_2,T5, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T6, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T7, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T8, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,USER_2,T9, 0.052631579,  0.2631579,   1.7894737,
OTHER_USERS,NA,T1, 8.161461933,120.5706606, 794.4445036,
OTHER_USERS,NA,T2,11.198664815,182.4785156,1177.0924531,
OTHER_USERS,NA,T3,10.253605607,173.0280782,1222.0924779,
OTHER_USERS,NA,T4,11.835142332,209.8108092,1434.2960442,
OTHER_USERS,NA,T5, 9.944368244,140.4464389, 918.2367099,
OTHER_USERS,NA,T6, 8.286225873,130.1134742, 827.8871969,
OTHER_USERS,NA,T7,10.203690689,162.5045338,1041.0398388,
OTHER_USERS,NA,T8, 9.147492303,152.1615770, 961.5254751,
OTHER_USERS,NA,T9,11.969348205,208.8859125,1321.3853004,
SustainBrands,NA,T1, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,NA,T2, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,NA,T3, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,NA,T4, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,NA,T5, 0.594202899,  4.1594203,  34.4637681,748763105321070593
SustainBrands,NA,T6, 0.159420290,  1.1159420,   9.2463768,
SustainBrands,NA,T7, 0.159420290,  1.1159420,   9.2463768,
SustainBrands,NA,T8, 0.014492754,  0.1014493,   0.8405797,
SustainBrands,NA,T9, 0.014492754,  0.1014493,   0.8405797,
USER_2,NA,T1, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T2, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T3, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T4, 0.578947368,  2.8947368,  19.6842105,874590496815009793
USER_2,NA,T5, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T6, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T7, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T8, 0.052631579,  0.2631579,   1.7894737,
USER_2,NA,T9, 0.052631579,  0.2631579,   1.7894737,
USER_3,citizensclimate,T1, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T2, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T3, 0.836734694,  7.5306122,  51.0408163,719635824636076032
