interactor,date,topic,doc_nb,word_nb,char_nb,doc_ids
NA,2016-03-08,P3,6.250000e-04,   0.2962500,    1.640000,
NA,2016-03-08,P4,1.312500e-02,   6.2212500,   34.440000,
NA,2016-03-08,P5,6.250000e-04,   0.2962500,    1.640000,
NA,2016-03-08,P6,6.312500e-02,  29.9212500,  165.640000,
NA,2016-03-08,P7,9.437500e-02,  44.7337500,  247.640000,
NA,2016-03-08,P8,6.250000e-04,   0.2962500,    1.640000,
NA,2016-03-08,P9,6.250000e-04,   0.2962500,    1.640000,
NA,2016-03-09,P1,4.601351e-01, 169.3297297,  986.529730,uk.org.publicwhip/debate/2016-03-09a.281.0
NA,2016-03-09,P10,2.912162e-01, 107.1675676,  624.367568,
NA,2016-03-09,P2,1.418919e-02,   5.2216216,   30.421622,
NA,2016-03-09,P3,6.756757e-04,   0.2486486,    1.448649,
NA,2016-03-09,P4,6.756757e-04,   0.2486486,    1.448649,
NA,2016-03-09,P5,2.101351e-01,  77.3297297,  450.529730,
NA,2016-03-09,P6,6.756757e-04,   0.2486486,    1.448649,
NA,2016-03-09,P7,6.756757e-04,   0.2486486,    1.448649,
NA,2016-03-09,P8,6.756757e-04,   0.2486486,    1.448649,
NA,2016-03-09,P9,2.094595e-02,   7.7081081,   44.908108,
NA,2016-03-14,P1,1.428434e-03,   0.4862207,    2.785730,
NA,2016-03-14,P10,6.863217e-03,   2.9590467,   16.660730,
NA,2016-03-14,P2,1.896258e-01,  84.4788621,  474.643031,
NA,2016-03-14,P3,1.428434e-03,   0.4862207,    2.785730,
NA,2016-03-14,P4,1.481676e-01,  67.2525250,  377.410730,
NA,2016-03-14,P5,7.751539e-02,  35.1057859,  197.035730,
NA,2016-03-14,P6,9.889236e-01, 351.5664438, 2007.223783,uk.org.publicwhip/debate/2016-03-14b.719.0 uk.org.publicwhip/debate/2016-03-14b.702.0
NA,2016-03-14,P7,3.898952e-01, 126.4863649,  727.612058,
NA,2016-03-14,P8,1.428434e-03,   0.4862207,    2.785730,
NA,2016-03-14,P9,1.947239e-01,  55.6923095,  324.056748,
NA,2016-05-18,P1,2.076636e-01, 202.2642991, 1342.129533,uk.org.publicwhip/debate/2016-05-18a.3.0
NA,2016-05-18,P10,1.104673e-01, 107.5951402,  713.950093,
NA,2016-05-18,P2,8.990654e-02,  87.5689720,  581.065981,
NA,2016-05-18,P3,4.317757e-02,  42.0549533,  279.056636,
NA,2016-05-18,P4,1.478505e-01, 144.0063551,  955.557570,
NA,2016-05-18,P5,1.927103e-01, 187.6998131, 1245.486542,
NA,2016-05-18,P6,3.925234e-03,   3.8231776,   25.368785,
NA,2016-05-18,P7,1.869159e-04,   0.1820561,    1.208037,
NA,2016-05-18,P8,1.869159e-04,   0.1820561,    1.208037,
NA,2016-05-18,P9,2.039252e-01, 198.6231776, 1317.968785,
NA,2016-07-04,P1,4.566210e-04,   0.2785388,    1.615068,
NA,2016-07-04,P10,4.155251e-02,  25.3470320,  146.971233,
NA,2016-07-04,P2,3.242009e-02,  19.7762557,  114.669863,
NA,2016-07-04,P3,4.566210e-04,   0.2785388,    1.615068,
NA,2016-07-04,P4,5.981735e-02,  36.4885845,  211.573973,
NA,2016-07-04,P5,5.022831e-03,   3.0639269,   17.765753,
NA,2016-07-04,P6,5.940639e-01, 362.3789954, 2101.204110,uk.org.publicwhip/debate/2016-07-04a.690.0
NA,2016-07-04,P7,2.515982e-01, 153.4748858,  889.902740,
NA,2016-07-04,P8,1.415525e-02,   8.6347032,   50.067123,
NA,2016-07-04,P9,4.566210e-04,   0.2785388,    1.615068,
NA,2016-07-12,P1,3.389831e-04,   0.2298305,    1.387458,
NA,2016-07-12,P10,8.847458e-02,  59.9857627,  362.126441,
NA,2016-07-12,P2,1.088136e-01,  73.7755932,  445.373898,
NA,2016-07-12,P3,3.389831e-04,   0.2298305,    1.387458,
NA,2016-07-12,P4,1.969492e-01, 133.5315254,  806.112881,
NA,2016-07-12,P5,3.389831e-04,   0.2298305,    1.387458,
NA,2016-07-12,P6,5.020339e-01, 340.3789831, 2054.824746,uk.org.publicwhip/debate/2016-07-12b.186.1
NA,2016-07-12,P7,1.389831e-02,   9.4230508,   56.885763,
NA,2016-07-12,P8,8.847458e-02,  59.9857627,  362.126441,
NA,2016-07-12,P9,3.389831e-04,   0.2298305,    1.387458,
NA,2016-07-13,P1,3.703704e-03,   0.2037037,    1.251852,
NA,2016-07-13,P10,4.074074e-02,   2.2407407,   13.770370,
NA,2016-07-13,P2,2.259259e-01,  12.4259259,   76.362963,
NA,2016-07-13,P3,3.703704e-03,   0.2037037,    1.251852,
NA,2016-07-13,P4,4.074074e-02,   2.2407407,   13.770370,
NA,2016-07-13,P5,3.703704e-03,   0.2037037,    1.251852,
NA,2016-07-13,P6,6.703704e-01,  36.8703704,  226.585185,uk.org.publicwhip/debate/2016-07-14b.417.8
NA,2016-07-13,P7,3.703704e-03,   0.2037037,    1.251852,
NA,2016-07-13,P8,3.703704e-03,   0.2037037,    1.251852,
