author,interactor,topic,doc_nb,word_nb,char_nb,doc_ids
Antoinette Sandbach,NA,P3,4.566210e-04,   0.2785388,    1.615068,
Antoinette Sandbach,NA,P4,5.981735e-02,  36.4885845,  211.573973,
Antoinette Sandbach,NA,P5,5.022831e-03,   3.0639269,   17.765753,
Antoinette Sandbach,NA,P6,5.940639e-01, 362.3789954, 2101.204110,uk.org.publicwhip/debate/2016-07-04a.690.0
Antoinette Sandbach,NA,P7,2.515982e-01, 153.4748858,  889.902740,
Antoinette Sandbach,NA,P8,1.415525e-02,   8.6347032,   50.067123,
Antoinette Sandbach,NA,P9,4.566210e-04,   0.2785388,    1.615068,
Barry Gardiner,NA,P1,4.809307e-03,   0.4804869,    2.994219,
Barry Gardiner,NA,P10,5.554090e-02,   7.6811346,   47.060422,
Barry Gardiner,NA,P2,9.571840e-02,   5.2986687,   34.630583,
Barry Gardiner,NA,P3,2.064044e-02,  14.8551571,   87.738283,
Barry Gardiner,NA,P4,2.327896e-02,  17.2509355,  101.862293,
Barry Gardiner,NA,P5,1.209043e-01, 105.8947349,  624.450684,
Barry Gardiner,NA,P6,4.143799e-01, 333.5069921, 1967.925858,uk.org.publicwhip/debate/2019-04-23a.674.0
Barry Gardiner,NA,P7,1.067774e+00, 304.9706524, 1825.544471,uk.org.publicwhip/debate/2016-09-07b.371.5
Barry Gardiner,NA,P8,1.921444e-01, 170.5807508, 1005.798969,
Barry Gardiner,NA,P9,4.809307e-03,   0.4804869,    2.994219,
Barry Sheerman,NA,P1,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P10,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P2,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P3,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P4,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P5,4.809524e-01,  28.3761905,  165.928571,uk.org.publicwhip/debate/2019-04-24b.734.0
Barry Sheerman,NA,P6,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P7,4.809524e-01,  28.3761905,  165.928571,
Barry Sheerman,NA,P8,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,NA,P9,4.761905e-03,   0.2809524,    1.642857,
Bill Grant,NA,P1,4.313725e-03,   2.5925490,   15.283529,
Bill Grant,NA,P10,5.137255e-02,  30.8749020,  182.012941,
Bill Grant,NA,P2,3.921569e-04,   0.2356863,    1.389412,
Bill Grant,NA,P3,1.258824e-01,  75.6552941,  446.001176,
Bill Grant,NA,P4,2.003922e-01, 120.4356863,  709.989412,
Bill Grant,NA,P5,1.258824e-01,  75.6552941,  446.001176,
Bill Grant,NA,P6,1.141176e-01,  68.5847059,  404.318824,
Bill Grant,NA,P7,1.023529e-01,  61.5141176,  362.636471,
Bill Grant,NA,P8,2.749020e-01, 165.2160784,  973.977647,uk.org.publicwhip/debate/2019-10-17c.534.0
Bill Grant,NA,P9,3.921569e-04,   0.2356863,    1.389412,
Boris Johnson,NA,P1,2.265306e-01,  31.2612245,  177.146939,
Boris Johnson,NA,P10,4.285714e-02,   5.9142857,   33.514286,
Boris Johnson,NA,P2,4.285714e-02,   5.9142857,   33.514286,
Boris Johnson,NA,P3,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,NA,P4,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,NA,P5,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,NA,P6,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,NA,P7,6.551020e-01,  90.4040816,  512.289796,uk.org.publicwhip/debate/2019-10-30a.368.3
Boris Johnson,NA,P8,2.244898e-02,   3.0979592,   17.555102,
Boris Johnson,NA,P9,2.040816e-03,   0.2816327,    1.595918,
Callum McCaig,NA,P1,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,NA,P10,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,NA,P2,9.734513e-03,   2.6283186,   15.380531,
Callum McCaig,NA,P3,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,NA,P4,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,NA,P5,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,NA,P6,5.318584e-01, 143.6017699,  840.336283,uk.org.publicwhip/debate/2016-03-14b.702.0
Callum McCaig,NA,P7,2.752212e-01,  74.3097345,  434.849558,
Callum McCaig,NA,P8,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,NA,P9,1.778761e-01,  48.0265487,  281.044248,
Carol Monaghan,NA,P1,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,NA,P10,3.137931e-01,  16.3172414,  105.748276,uk.org.publicwhip/debate/2019-06-12e.657.5
Carol Monaghan,NA,P2,3.793103e-02,   1.9724138,   12.782759,
Carol Monaghan,NA,P3,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,NA,P4,1.413793e-01,   7.3517241,   47.644828,
Carol Monaghan,NA,P5,2.103448e-01,  10.9379310,   70.886207,
Carol Monaghan,NA,P6,3.793103e-02,   1.9724138,   12.782759,
Carol Monaghan,NA,P7,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,NA,P8,2.448276e-01,  12.7310345,   82.506897,
Carol Monaghan,NA,P9,3.448276e-03,   0.1793103,    1.162069,
Caroline Lucas,NA,P1,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,NA,P10,1.760870e-01,  18.4891304,  114.632609,
Caroline Lucas,NA,P2,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,NA,P3,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,NA,P4,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,NA,P5,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,NA,P6,7.847826e-01,  82.4021739,  510.893478,uk.org.publicwhip/debate/2016-09-07b.333.3
Caroline Lucas,NA,P7,2.391304e-02,   2.5108696,   15.567391,
Caroline Lucas,NA,P8,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,NA,P9,2.173913e-03,   0.2282609,    1.415217,
Cat Smith,NA,P1,2.100000e-01,   4.2000000,   28.560000,
Cat Smith,NA,P10,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,NA,P2,1.100000e-01,   2.2000000,   14.960000,
Cat Smith,NA,P3,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,NA,P4,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,NA,P5,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,NA,P6,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,NA,P7,3.100000e-01,   6.2000000,   42.160000,uk.org.publicwhip/debate/2016-02-11c.1727.7
Cat Smith,NA,P8,3.100000e-01,   6.2000000,   42.160000,
Cat Smith,NA,P9,1.000000e-02,   0.2000000,    1.360000,
Cheryl Gillan,NA,P1,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,NA,P10,5.778736e-01, 488.3031609, 2812.510632,uk.org.publicwhip/debate/2017-01-31c.845.1
Cheryl Gillan,NA,P2,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,NA,P3,8.908046e-03,   7.5272989,   43.355460,
Cheryl Gillan,NA,P4,7.212644e-02,  60.9468391,  351.039368,
Cheryl Gillan,NA,P5,1.899425e-01, 160.5014368,  924.450287,
Cheryl Gillan,NA,P6,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,NA,P7,1.353448e-01, 114.3663793,  658.723276,
Cheryl Gillan,NA,P8,8.908046e-03,   7.5272989,   43.355460,
Cheryl Gillan,NA,P9,6.034483e-03,   5.0991379,   29.369828,
Chi Onwurah,NA,P1,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,NA,P10,3.725806e-01,  47.3177419,  277.200000,uk.org.publicwhip/debate/2019-02-12c.721.5
Chi Onwurah,NA,P2,2.274194e-01,  28.8822581,  169.200000,
Chi Onwurah,NA,P3,1.145161e-01,  14.5435484,   85.200000,
Chi Onwurah,NA,P4,2.435484e-01,  30.9306452,  181.200000,
Chi Onwurah,NA,P5,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,NA,P6,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,NA,P7,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,NA,P8,3.387097e-02,   4.3016129,   25.200000,
Chi Onwurah,NA,P9,1.612903e-03,   0.2048387,    1.200000,
Chris Matheson,NA,P1,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,NA,P10,2.369942e-02,   8.7450867,   55.172254,
Chris Matheson,NA,P2,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,NA,P3,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,NA,P4,1.335260e-01,  49.2710983,  310.848555,
Chris Matheson,NA,P5,1.335260e-01,  49.2710983,  310.848555,
Chris Matheson,NA,P6,2.317919e-01,  85.5312139,  539.611561,
Chris Matheson,NA,P7,3.300578e-01, 121.7913295,  768.374566,uk.org.publicwhip/debate/2019-05-21a.650.1
Chris Matheson,NA,P8,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,NA,P9,1.450867e-01,  53.5369942,  337.761850,
Claire Perry,NA,P1,1.488242e-01,  45.4089536,  247.693484,
Claire Perry,NA,P10,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,NA,P2,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,NA,P3,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,NA,P4,3.753614e-01,  50.8490831,  278.609342,
Claire Perry,NA,P5,2.072923e-01,  33.3949299,  182.742244,
Claire Perry,NA,P6,4.476375e-01,  51.6656958,  283.477735,uk.org.publicwhip/debate/2019-04-23a.614.3
Claire Perry,NA,P7,7.604746e-01, 233.7973031, 1275.266300,uk.org.publicwhip/debate/2019-10-30a.368.2
Claire Perry,NA,P8,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,NA,P9,4.763754e-02,   5.6656958,   31.077735,
Daniel Zeichner,NA,P1,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,NA,P10,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,NA,P2,3.133333e-01,  17.6683333,  105.258333,
Daniel Zeichner,NA,P3,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,NA,P4,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,NA,P5,7.633333e-01,  37.5683333,  220.008333,uk.org.publicwhip/debate/2019-05-21a.605.3
Daniel Zeichner,NA,P6,5.966667e-01,  20.4016667,  112.341667,uk.org.publicwhip/debate/2019-07-25a.1427.7
Daniel Zeichner,NA,P7,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,NA,P8,1.633333e-01,   9.1183333,   54.258333,
Daniel Zeichner,NA,P9,9.666667e-02,   3.4016667,   18.841667,
Darren Jones,NA,P1,3.012048e-04,   0.2259036,    1.364759,
Darren Jones,NA,P10,1.837349e-02,  13.7801205,   83.250301,
Darren Jones,NA,P2,6.325301e-03,   4.7439759,   28.659940,
Darren Jones,NA,P3,5.150602e-02,  38.6295181,  233.373795,
Darren Jones,NA,P4,1.027108e-01,  77.0331325,  465.382831,
Darren Jones,NA,P5,3.343373e-02,  25.0753012,  151.488253,
Darren Jones,NA,P6,7.560241e-02,  56.7018072,  342.554518,
Darren Jones,NA,P7,2.774096e-01, 208.0572289, 1256.943072,
Darren Jones,NA,P8,4.009036e-01, 300.6777108, 1816.494277,uk.org.publicwhip/debate/2018-11-12d.151.1
Darren Jones,NA,P9,3.343373e-02,  25.0753012,  151.488253,
David Drew,NA,P1,3.846154e-03,   0.2807692,    1.565385,
David Drew,NA,P10,4.230769e-02,   3.0884615,   17.219231,
David Drew,NA,P2,1.961538e-01,  14.3192308,   79.834615,
David Drew,NA,P3,3.846154e-03,   0.2807692,    1.565385,
David Drew,NA,P4,3.846154e-03,   0.2807692,    1.565385,
David Drew,NA,P5,3.846154e-03,   0.2807692,    1.565385,
David Drew,NA,P6,3.846154e-03,   0.2807692,    1.565385,
David Drew,NA,P7,4.269231e-01,  31.1653846,  173.757692,uk.org.publicwhip/debate/2019-05-09b.640.7
David Drew,NA,P8,1.576923e-01,  11.5115385,   64.180769,
David Drew,NA,P9,1.576923e-01,  11.5115385,   64.180769,
Derek Thomas,NA,P1,2.217391e-02,  12.3508696,   72.109565,
Derek Thomas,NA,P10,4.347826e-04,   0.2421739,    1.413913,
Derek Thomas,NA,P2,4.347826e-04,   0.2421739,    1.413913,
Derek Thomas,NA,P3,1.347826e-02,   7.5073913,   43.831304,
Derek Thomas,NA,P4,2.308696e-01, 128.5943478,  750.787826,
Derek Thomas,NA,P5,1.743478e-01,  97.1117391,  566.979130,
Derek Thomas,NA,P6,3.352174e-01, 186.7160870, 1090.126957,uk.org.publicwhip/debate/2019-10-17c.552.2
Derek Thomas,NA,P7,3.521739e-02,  19.6160870,  114.526957,
Derek Thomas,NA,P8,1.613043e-01,  89.8465217,  524.561739,
Derek Thomas,NA,P9,2.652174e-02,  14.7726087,   86.248696,
Douglas Chapman,NA,P1,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P10,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P2,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P3,6.040000e-01,  39.2600000,  226.500000,uk.org.publicwhip/debate/2019-06-13b.822.1
Douglas Chapman,NA,P4,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P5,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P6,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P7,3.640000e-01,  23.6600000,  136.500000,
Douglas Chapman,NA,P8,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,NA,P9,4.000000e-03,   0.2600000,    1.500000,
Edward Davey,NA,P1,1.723684e-01,  31.8881579,  183.400000,
Edward Davey,NA,P10,1.065789e-01,  19.7171053,  113.400000,
Edward Davey,NA,P2,1.592105e-01,  29.4539474,  169.400000,
Edward Davey,NA,P3,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,NA,P4,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,NA,P5,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,NA,P6,3.960526e-01,  73.2697368,  421.400000,uk.org.publicwhip/debate/2019-04-23a.682.2
Edward Davey,NA,P7,1.592105e-01,  29.4539474,  169.400000,
Edward Davey,NA,P8,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,NA,P9,1.315789e-03,   0.2434211,    1.400000,
Eleanor Laing,NA,P1,4.111842e-05,   0.1855674,    1.226398,
