author,topic,doc_nb,word_nb,char_nb,doc_ids
Andrea Leadsom,P6,2.101883e+00, 143.1628478,  855.779008,uk.org.publicwhip/debate/2016-07-14b.417.8 uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3
Andrea Leadsom,P7,5.273009e-01,  41.0002352,  235.129072,uk.org.publicwhip/debate/2019-09-26c.913.0
Andrea Leadsom,P8,1.378736e-02,   0.9461812,    5.588531,
Andrea Leadsom,P9,1.378736e-02,   0.9461812,    5.588531,
Andrew Mitchell,P1,1.497768e-01, 163.1069196,  945.241295,
Andrew Mitchell,P10,4.933036e-02,  53.7207589,  311.323884,
Andrew Mitchell,P2,2.368304e-01, 257.9082589, 1494.636384,
Andrew Mitchell,P3,2.232143e-04,   0.2430804,    1.408705,
Andrew Mitchell,P4,1.408482e-01, 153.3837054,  888.893080,
Andrew Mitchell,P5,3.104911e-01, 338.1247768, 1959.509152,uk.org.publicwhip/debate/2019-10-14a.49.1
Andrew Mitchell,P6,2.232143e-04,   0.2430804,    1.408705,
Andrew Mitchell,P7,7.611607e-02,  82.8904018,  480.368527,
Andrew Mitchell,P8,3.370536e-02,  36.7051339,  212.714509,
Andrew Mitchell,P9,2.455357e-03,   2.6738839,   15.495759,
Andrew Murrison,P1,2.810606e-01,  93.0310606,  541.322727,
Andrew Murrison,P10,2.348485e-02,   7.7734848,   45.231818,
Andrew Murrison,P2,4.621212e-02,  15.2962121,   89.004545,
Andrew Murrison,P3,8.333333e-03,   2.7583333,   16.050000,
Andrew Murrison,P4,7.575758e-04,   0.2507576,    1.459091,
Andrew Murrison,P5,1.825758e-01,  60.4325758,  351.640909,
Andrew Murrison,P6,7.575758e-04,   0.2507576,    1.459091,
Andrew Murrison,P7,4.477273e-01, 148.1977273,  862.322727,uk.org.publicwhip/debate/2016-07-18c.591.2
Andrew Murrison,P8,8.333333e-03,   2.7583333,   16.050000,
Andrew Murrison,P9,7.575758e-04,   0.2507576,    1.459091,
Andrew Stephenson,P1,2.173913e-03,   2.3782609,   14.408696,
Andrew Stephenson,P10,1.976285e-04,   0.2162055,    1.309881,
Andrew Stephenson,P2,1.600791e-02,  17.5126482,  106.100395,
Andrew Stephenson,P3,5.041502e-01, 551.5403162, 3341.507510,uk.org.publicwhip/debate/2019-07-04b.1409.1
Andrew Stephenson,P4,3.598814e-01, 393.7102767, 2385.294071,
Andrew Stephenson,P5,1.976285e-04,   0.2162055,    1.309881,
Andrew Stephenson,P6,1.148221e-01, 125.6154150,  761.041107,
Andrew Stephenson,P7,2.173913e-03,   2.3782609,   14.408696,
Andrew Stephenson,P8,1.976285e-04,   0.2162055,    1.309881,
Andrew Stephenson,P9,1.976285e-04,   0.2162055,    1.309881,
Anne Main,P1,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P10,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P2,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P3,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P4,4.100000e-01,  10.6600000,   57.810000,
Anne Main,P5,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P6,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P7,5.100000e-01,  13.2600000,   71.910000,uk.org.publicwhip/debate/2019-09-03b.34.3
Anne Main,P8,1.000000e-02,   0.2600000,    1.410000,
Anne Main,P9,1.000000e-02,   0.2600000,    1.410000,
Antoinette Sandbach,P1,4.566210e-04,   0.2785388,    1.615068,
Antoinette Sandbach,P10,4.155251e-02,  25.3470320,  146.971233,
Antoinette Sandbach,P2,3.242009e-02,  19.7762557,  114.669863,
Antoinette Sandbach,P3,4.566210e-04,   0.2785388,    1.615068,
