author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Alun Cairns,2019-06-10,P8,2.857143e-03,   0.2571429,    1.500000,
Alun Cairns,2019-06-10,P9,2.857143e-03,   0.2571429,    1.500000,
Amber Rudd,2016-07-12,P1,3.389831e-04,   0.2298305,    1.387458,
Amber Rudd,2016-07-12,P10,8.847458e-02,  59.9857627,  362.126441,
Amber Rudd,2016-07-12,P2,1.088136e-01,  73.7755932,  445.373898,
Amber Rudd,2016-07-12,P3,3.389831e-04,   0.2298305,    1.387458,
Amber Rudd,2016-07-12,P4,1.969492e-01, 133.5315254,  806.112881,
Amber Rudd,2016-07-12,P5,3.389831e-04,   0.2298305,    1.387458,
Amber Rudd,2016-07-12,P6,5.020339e-01, 340.3789831, 2054.824746,uk.org.publicwhip/debate/2016-07-12b.186.1
Amber Rudd,2016-07-12,P7,1.389831e-02,   9.4230508,   56.885763,
Amber Rudd,2016-07-12,P8,8.847458e-02,  59.9857627,  362.126441,
Amber Rudd,2016-07-12,P9,3.389831e-04,   0.2298305,    1.387458,
Andrea Leadsom,2016-07-13,P1,3.703704e-03,   0.2037037,    1.251852,
Andrea Leadsom,2016-07-13,P10,4.074074e-02,   2.2407407,   13.770370,
Andrea Leadsom,2016-07-13,P2,2.259259e-01,  12.4259259,   76.362963,
Andrea Leadsom,2016-07-13,P3,3.703704e-03,   0.2037037,    1.251852,
Andrea Leadsom,2016-07-13,P4,4.074074e-02,   2.2407407,   13.770370,
Andrea Leadsom,2016-07-13,P5,3.703704e-03,   0.2037037,    1.251852,
Andrea Leadsom,2016-07-13,P6,6.703704e-01,  36.8703704,  226.585185,uk.org.publicwhip/debate/2016-07-14b.417.8
Andrea Leadsom,2016-07-13,P7,3.703704e-03,   0.2037037,    1.251852,
Andrea Leadsom,2016-07-13,P8,3.703704e-03,   0.2037037,    1.251852,
Andrea Leadsom,2016-07-13,P9,3.703704e-03,   0.2037037,    1.251852,
Andrea Leadsom,2016-07-14,P1,7.380952e-03,   0.5316667,    3.128571,
Andrea Leadsom,2016-07-14,P10,3.119048e-02,   2.6983333,   16.414286,
Andrea Leadsom,2016-07-14,P2,3.883333e-01,  35.1983333,  215.700000,
Andrea Leadsom,2016-07-14,P3,7.380952e-03,   0.5316667,    3.128571,
Andrea Leadsom,2016-07-14,P4,1.073810e-01,   6.8316667,   39.128571,
