doc_id,date,retweetcount,from_user_id,from_user_name,from_user_followercount,text,length,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9
872238468679835649,2017-06-06,0,22460413,innaroz,1010,"@team_trump45 @realdonaldtrump @algore invented a new religious clan, #climatechange note, no more #globalwarming &amp; no more #globalcooling",17,0.009174311926605505,0.10091743119266056,0.009174311926605505,0.5596330275229358,0.1926605504587156,0.009174311926605505,0.009174311926605505,0.10091743119266056,0.009174311926605505
993806430519119872,2018-05-08,0,950972504,Fortgoose,33,@6esm #climatechange leadership debt looks good on kevin...,8,0.01694915254237288,0.01694915254237288,0.1864406779661017,0.1864406779661017,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.5254237288135593,0.01694915254237288
980544595464474625,2018-04-01,18,16958346,ClimateReality,403775,"we know that climate changes health, but did you know that it could affect womens health in particular?",18,0.020408163265306124,0.020408163265306124,0.020408163265306124,0.020408163265306124,0.020408163265306124,0.020408163265306124,0.020408163265306124,0.020408163265306124,0.8367346938775511
813433313998217216,2016-12-26,0,4831370592,multi_utilities,199,"#alphatech5 2016: a year in photos, from climate change devastation to the power of protests. read blog:",17,0.011235955056179775,0.011235955056179775,0.46067415730337075,0.12359550561797754,0.011235955056179775,0.34831460674157305,0.011235955056179775,0.011235955056179775,0.011235955056179775
1042129141745643520,2018-09-18,0,185887462,McBullshit,15,@arifleischer he just wanted to show her the temperature rising in his pants. he didn't anticipate her #climate would change from lush and wet to dry as a desert. ???,30,0.008403361344537815,0.17647058823529413,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.6806722689075629,0.09243697478991597,0.008403361344537815
1064507104185249792,2018-11-19,0,934243940152348700,VeeruSahab,0,??? ???? ???? ?? ???? : combat climate change by cutting beef and lamb pro...,15,0.5254237288135593,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.3559322033898305
1079196505691619328,2018-12-30,4,1028076974206537700,BioTechDirt,921,"kids suing us govt for ""endangering their constitutional right to a safe #climate"" please tell us this #lawsuit deals with government geoengineering...? #foodworldorder #chemtrails #geopolitiks @mediamonarchy @dum_phuk @shartstorm8d8 @deelunarfox @a_m_m_",30,0.4285714285714286,0.005291005291005292,0.005291005291005292,0.32275132275132273,0.005291005291005292,0.005291005291005292,0.21693121693121692,0.005291005291005292,0.005291005291005292
930148893999943680,2017-11-13,0,739570614843772900,emilysmelliott,109,"cities take up 3% of land, consume 70% of energy &amp; produce 75% of co2 emissions. end climate change w/ sustainability! @ambarnes8 #esslove",23,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.10091743119266056,0.009174311926605505,0.009174311926605505,0.8348623853211009
1096846984043003910,2019-02-16,0,1008731226281332700,Joyceregister2,44,"@morrissey68 @skynews you are talking for climate change, and against the kids. why? yes it has changed, but not the way it is now, because of our actions.",28,0.014492753623188408,0.014492753623188408,0.014492753623188408,0.014492753623188408,0.014492753623188408,0.15942028985507248,0.5942028985507246,0.15942028985507248,0.014492753623188408
867143660953055232,2017-05-23,0,727316106843574300,BagalueSunab,490,roberts letter: climate change,4,0.034482758620689655,0.034482758620689655,0.3793103448275862,0.034482758620689655,0.034482758620689655,0.3793103448275862,0.034482758620689655,0.034482758620689655,0.034482758620689655
984319007116447744,2018-04-12,0,3290005917,CLIME_IT,5407,is your state prepared for #climate change?,7,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.7241379310344827,0.034482758620689655,0.034482758620689655
1039214986193559552,2018-09-10,0,394268358,DavidBakerSF,3622,then there's this... angry activists plan to crash jerry brown's sf climate summit,13,0.46067415730337075,0.011235955056179775,0.12359550561797754,0.011235955056179775,0.011235955056179775,0.34831460674157305,0.011235955056179775,0.011235955056179775,0.011235955056179775
833213826006994944,2017-02-19,3,730968586047512600,OpChemArchives,411,geo engineering scientists terrified... #climatechange,5,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.6326530612244897,0.02040816326530612,0.22448979591836735,0.02040816326530612,0.02040816326530612,0.02040816326530612
1033323793509502977,2018-08-25,0,890688795712081900,ulricson,3571,another greenie bites the dust. aussie pm forced out by climate policy,12,0.012658227848101267,0.012658227848101267,0.012658227848101267,0.13924050632911394,0.012658227848101267,0.6455696202531646,0.13924050632911394,0.012658227848101267,0.012658227848101267
795961171119665152,2016-11-08,0,390116753,silvanaprecup,182,"the future of the worker:focus on the monetary value of start-ups&amp;#innovation, or on climate challenges?how do we redefine values?",19,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.9266055045871558
982336174281850881,2018-04-06,0,26702508,sdeitch,3812,@t85252010 @germainmichele @p0jorge @drqatari @ofirgendelman @unfccc @unenvironment @climate @climatereality @undpclimate @nasaclimate @environmentca @guardianeco @envagency @yalee360 @pewenvironment @unenvironmenteu @euenvironment you aren't involved in,22,0.005586592178770951,0.005586592178770951,0.8435754189944135,0.005586592178770951,0.005586592178770951,0.11731843575418996,0.005586592178770951,0.005586592178770951,0.005586592178770951
799817507573903360,2016-11-19,0,16289464,simon_prickett,712,"@car2gosandiego is leaving us. sad, but understandable. hope a climate exists in the future where you can return.",18,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.11111111111111112,0.010101010101010102,0.5151515151515151,0.31313131313131315,0.010101010101010102
